epoch,train_loss,val_loss,train_dice,val_dice,train_iou,val_iou,train_accuracy,val_accuracy,learning_rate,seconds
1,1.1018316785494486,1.0909082055091859,0.6027786344289779,0.635716728369395,0.48272107243537904,0.524296494325002,0.7046784083048503,0.7351722717285156,0.0001,14.343056678771973
2,0.9091292063395182,0.9298498749732971,0.6924446960290273,0.694655966758728,0.5751946717500687,0.5712254842122396,0.7805747985839844,0.7653035481770833,0.0001,6.156339883804321
3,0.8240809281667073,0.765796176592509,0.7380934417247772,0.7171430269877116,0.6229022453228633,0.6105976581573487,0.8192815144856771,0.8360788981119792,0.0001,6.4845290184021
4,0.7872201522191365,0.7527754624684652,0.7587713181972504,0.7613589207331339,0.6442604531844457,0.6524763345718384,0.8329777399698893,0.8407145182291667,0.0001,6.772945404052734
5,0.7713143189748128,0.7518776496251424,0.7626130521297455,0.7538327018419901,0.6490467170874278,0.6442799806594849,0.8327253977457683,0.8366480509440104,0.0001,6.7840659618377686
6,0.7390955785910288,0.7383363525072734,0.7778739472230275,0.7441961328188579,0.6700095315774282,0.6445001403490702,0.8457252502441406,0.8523600260416667,0.0001,6.862060070037842
7,0.7288849453131357,0.7503879547119141,0.7706935365994771,0.7531686067581177,0.6598038007815679,0.6426666657129924,0.8458094278971354,0.8287717183430989,0.0001,6.692141532897949
8,0.7119065841039022,0.7103203296661377,0.7836995959281922,0.7715565125147502,0.6796888411045074,0.6558878660202027,0.850714365641276,0.8450439453125,0.0001,6.947876930236816
9,0.6841719627380372,0.6993216236432394,0.7907178521156311,0.759609333674113,0.6852872192859649,0.6624232848485311,0.8587933858235677,0.8602526346842448,0.0001,6.95688271522522
10,0.6672285308440526,0.7034084757169088,0.8006485720475515,0.7673150221506755,0.6988992591698965,0.658821976184845,0.8641679128011067,0.8489672342936198,0.0001,7.077212333679199
11,0.6619866033395131,0.6938803434371948,0.7980222761631012,0.7502730647722881,0.6951945583025615,0.6540237665176392,0.8651399612426758,0.8546295166015625,0.0001,7.19108247756958
12,0.6482583890358607,0.7004599293073018,0.8056749125321706,0.7845324238141378,0.7045267442862193,0.6805943528811137,0.867595926920573,0.8548146565755208,0.0001,7.190191030502319
13,0.6246720472971599,0.676944108804067,0.8132504463195801,0.7684529503186543,0.7147221366564432,0.6722984949747721,0.8772745768229167,0.8606694539388021,0.0001,6.809776544570923
14,0.6124306370814642,0.6644747138023377,0.8136631886164347,0.7705949783325196,0.7159109195073445,0.6782456517219544,0.8755697250366211,0.8641604105631511,0.0001,7.522154331207275
15,0.5991396516561508,0.6458700895309448,0.8230405628681183,0.768960444132487,0.7290362397829692,0.6763317584991455,0.881019655863444,0.8702710469563802,0.0001,8.804084777832031
16,0.5848288307587306,0.6427322626113892,0.826912130912145,0.7905357360839844,0.7354485134283701,0.6890990098317464,0.8852332433064779,0.863879903157552,0.0001,7.5113465785980225
17,0.5665204892555873,0.6972537994384765,0.8380017280578613,0.7618338267008463,0.7479269981384278,0.6676137924194336,0.8899530410766602,0.8505950927734375,0.0001,7.308355093002319
18,0.5782787422339122,0.7006470203399658,0.8270570715268453,0.7327972491582234,0.7354235887527466,0.6312966744105021,0.8851985295613607,0.8397214253743489,0.0001,7.288186311721802
19,0.5742160906394322,0.6552889347076416,0.829250591993332,0.7947453022003174,0.7341778655846913,0.6949136296908061,0.8838277180989583,0.8592427571614584,0.0001,7.402165174484253
20,0.5382433980703354,0.6380488038063049,0.8440094312032064,0.7707204818725586,0.7566834310690562,0.6704331715901692,0.8948048909505208,0.862224833170573,0.0001,7.6806371212005615
21,0.5252613415320714,0.6019035279750824,0.8498586773872375,0.7986501614252727,0.7632879396279653,0.6975040197372436,0.8966962178548177,0.8746147155761719,0.0001,8.063625574111938
22,0.5172138452529907,0.6036312182744344,0.8502641181151073,0.7948368072509766,0.7636769592761994,0.701012380917867,0.8999363581339518,0.8742017110188802,0.0001,7.2330403327941895
23,0.5205969621737798,0.6077293038368226,0.8463532904783885,0.7954667170842489,0.7590800384680431,0.7019595305124918,0.8983445485432943,0.8715464274088541,0.0001,7.40667724609375
24,0.5171840975681941,0.6216732740402222,0.8480783581733704,0.8002676367759705,0.761847182114919,0.698556117216746,0.8993760426839192,0.8680811564127604,0.0001,7.378651142120361
25,0.4951104680697123,0.6060158967971802,0.8594919939835867,0.7888980627059936,0.7773405373096466,0.6968292037645976,0.9058862050374349,0.8767135620117188,0.0001,7.437829494476318
26,0.49814157485961913,0.6220675985018412,0.852273827791214,0.7716484149297078,0.7689929763476054,0.6771946271260579,0.903335698445638,0.8700230916341146,0.0001,6.903601408004761
27,0.4827270289262136,0.6330274184544881,0.8583957135677338,0.7697712699572246,0.7763576984405518,0.6788937012354533,0.9080925623575846,0.8653162638346354,0.0001,7.4109015464782715
28,0.48142323195934295,0.6915909131368001,0.8595607479413351,0.8015744090080261,0.7792849044005076,0.6990800221761068,0.9051015853881836,0.8601381937662761,0.0001,7.662726879119873
